date,ticker,action,shares,price,value,commission,pnl,reason
2026-03-20,SPY,BUY,7.000679,659.8,4619.05,2.31,,init_golden_cross
2026-03-20,IWM,BUY,18.653021,247.63,4619.05,2.31,,init_golden_cross
2026-03-20,EEM,BUY,80.163966,57.62,4619.05,2.31,,init_golden_cross
2026-03-20,EFA,BUY,47.855862,96.52,4619.05,2.31,,init_golden_cross
2026-03-20,VWO,BUY,85.522084,54.01,4619.05,2.31,,init_golden_cross
2026-03-20,GLD,BUY,10.832409,426.41,4619.05,2.31,,init_golden_cross
2026-03-20,DBC,BUY,160.161151,28.84,4619.05,2.31,,init_golden_cross
2026-03-20,UUP,BUY,167.478159,27.58,4619.05,2.31,,init_golden_cross
2026-03-20,XLE,BUY,77.814144,59.36,4619.05,2.31,,init_golden_cross
2026-03-20,XLU,BUY,99.24898,46.54,4619.05,2.31,,init_golden_cross
2026-03-20,VNQ,BUY,50.431792,91.59,4619.05,2.31,,init_golden_cross
2026-03-20,JPM,BUY,16.040031,287.97,4619.05,2.31,,init_golden_cross
2026-03-20,JNJ,BUY,19.440436,237.6,4619.05,2.31,,init_golden_cross
2026-03-20,XOM,BUY,29.204903,158.16,4619.05,2.31,,init_golden_cross
2026-03-20,NEE,BUY,49.984281,92.41,4619.05,2.31,,init_golden_cross
2026-03-20,BRK-B,BUY,9.593436,481.48,4619.05,2.31,,init_golden_cross
2026-03-20,GS,BUY,5.70605,809.5,4619.05,2.31,,init_golden_cross
2026-03-20,COST,BUY,4.738554,974.78,4619.05,2.31,,init_golden_cross
2026-03-20,GE,BUY,15.839813,291.61,4619.05,2.31,,init_golden_cross
2026-03-20,INTC,BUY,100.022685,46.18,4619.05,2.31,,init_golden_cross
2026-03-20,VZ,BUY,93.351812,49.48,4619.05,2.31,,init_golden_cross
2026-03-23,EFA,SELL,47.855862,93.59,4478.83,2.24,-142.46,signal_exit
2026-03-23,XLU,SELL,99.24898,44.65,4431.47,2.22,-189.8,signal_exit
2026-03-23,VNQ,SELL,50.431792,88.75,4475.82,2.24,-145.46,signal_exit
2026-03-24,DBC,SELL,160.161151,27.75,4444.47,2.22,-176.8,signal_exit
2026-03-24,EFA,BUY,206.413195,95.84,19782.64,9.89,,signal_entry
2026-03-25,BRK-B,SELL,9.593436,479.33,4598.42,2.3,-22.93,signal_exit
2026-03-30,SPY,SELL,7.000679,634.09,4439.06,2.22,-182.21,signal_exit
2026-03-30,JPM,SELL,16.040031,282.84,4536.76,2.27,-84.55,signal_exit
2026-03-30,NVDA,BUY,82.194416,167.52,13769.21,6.88,,signal_entry
