date,portfolio_value,cash,invested,n_positions,daily_return
2026-03-23,98477.41,16330.93,82146.48,18,0.0
2026-03-24,98903.31,980.64,97922.66,18,0.4325
2026-03-25,99107.23,5576.77,93530.47,17,0.2062
2026-03-26,98717.61,5576.77,93140.84,17,-0.3931
2026-03-27,98344.61,772.01,97572.6,16,-0.3778
2026-03-30,97900.22,5098.07,92802.15,15,-0.4519
2026-03-31,100361.76,5098.07,95263.69,15,2.5143
2026-04-01,100878.14,9684.48,91193.67,14,0.5145
2026-04-02,101096.01,9684.48,91411.53,14,0.216
2026-04-03,101096.01,9684.48,91411.53,14,0.0
2026-04-06,101339.4,9684.48,91654.92,14,0.2407
2026-04-07,101553.52,9684.48,91869.04,14,0.2113
2026-04-08,103979.78,745.89,103233.89,14,2.3891
2026-04-09,104448.87,5345.89,99102.98,13,0.4511
2026-04-10,104682.33,9797.7,94884.62,12,0.2235
2026-04-13,105129.64,9797.7,95331.94,12,0.4273
2026-04-14,106325.96,14414.54,91911.42,11,1.1379
2026-04-15,106552.97,14414.54,92138.44,11,0.2135
2026-04-16,106816.59,2176.64,104639.95,11,0.2474
2026-04-17,108013.99,566.61,107447.38,11,1.121
2026-04-20,107529.83,566.61,106963.22,11,-0.4482
2026-04-21,106388.88,566.61,105822.27,11,-1.0611
2026-04-22,106884.19,566.61,106317.58,11,0.4656
2026-04-23,106739.55,566.61,106172.94,11,-0.1353
2026-04-24,109055.31,89.22,108966.09,11,2.1695
2026-04-27,109547.56,4381.51,105166.05,9,0.4514
2026-04-28,109033.85,8949.52,100084.32,8,-0.4689
2026-04-29,108341.61,41422.12,66919.49,6,-0.6349
2026-04-30,108064.73,41422.12,66642.61,6,-0.2556
2026-05-01,107968.34,41422.12,66546.22,6,-0.0892
2026-05-04,107632.28,30427.81,77204.47,14,-0.0609
2026-05-05,107973.37,37812.05,70161.31,12,0.3169
2026-05-06,108591.78,20404.3,88187.48,13,0.5727
2026-05-07,108289.3,20087.79,88201.51,13,-0.2785
