date,portfolio_value,cash,invested,n_positions,daily_return
2026-07-21,102103.85,5479.54,96624.32,15,1.3117
2026-07-22,7926.75,177.36,7749.39,10,-92.2366
2026-07-23,7936.89,177.36,7759.53,10,0.1279
2026-07-24,8085.67,177.36,7908.31,10,1.8746
2026-07-27,8099.44,177.36,7922.08,10,0.1703
2026-07-28,8133.37,169.34,7964.03,9,0.419
2026-07-29,8031.09,238.81,7792.28,10,-1.2576
2026-07-30,7991.39,224.96,7766.43,11,-0.4943
2026-07-31,8097.19,224.96,7872.23,11,1.3239
2026-08-03,8135.68,224.96,7910.72,11,0.4753
2026-08-04,8106.6,428.68,7677.92,11,-0.3573
2026-08-05,8058.7,862.85,7195.85,13,-0.5909
2026-08-06,8053.57,951.48,7102.1,13,-0.0637
2026-08-07,8067.99,951.48,7116.51,13,0.179
2026-08-10,8098.41,245.27,7853.15,14,0.3771
2026-08-11,8075.23,762.46,7312.77,14,-0.2863
2026-08-12,8070.98,1159.95,6911.02,13,-0.0527
2026-08-13,8089.6,846.42,7243.18,13,0.2307
2026-08-14,8062.88,1231.82,6831.07,14,-0.3303
2026-08-17,8031.67,1948.76,6082.91,12,-0.3871
2026-08-18,8026.22,1161.54,6864.67,15,-0.0679
2026-08-19,8040.28,2187.77,5852.51,14,0.1751
2026-08-20,8013.89,1845.9,6167.98,14,-0.3282
2026-08-21,8034.05,2463.39,5570.66,13,0.2516
2026-08-24,8027.93,3345.92,4682.0,11,-0.0762
2026-08-25,8005.17,3145.27,4859.89,12,-0.2835
2026-08-26,8009.7,3641.57,4368.13,12,0.0567
2026-08-27,8031.16,2753.0,5278.16,14,0.2679
2026-08-28,8031.16,2753.0,5278.16,14,0.0
2026-08-31,8033.4,2524.37,5509.03,14,0.0278
2026-09-01,8001.95,1965.47,6036.48,15,-0.3914
2026-09-02,7999.6,1948.47,6051.13,14,-0.0294
2026-09-03,8021.32,1307.01,6714.32,15,0.2715
2026-09-04,8007.31,1353.12,6654.19,15,-0.1747
2026-09-07,8007.42,1353.12,6654.3,15,0.0014
2026-09-08,8017.53,1353.12,6664.41,15,0.1263
2026-09-09,7978.9,2089.58,5889.32,13,-0.4818
2026-09-10,7962.1,2030.24,5931.86,13,-0.2105
2026-09-11,7962.68,1739.86,6222.82,13,0.0073
2026-09-14,7935.45,1815.39,6120.06,12,-0.3419
2026-09-15,7913.19,1484.47,6428.72,13,-0.2805
2026-09-16,7881.77,782.78,7098.98,15,-0.3971
2026-09-17,7916.26,94.45,7821.81,16,0.4376
2026-09-18,7891.96,736.64,7155.32,15,-0.3069
