name,ann,vol,sharpe,sortino,mdd,calmar,n_mean,n_median,n_p25,n_p75,n_min,max_single_share_p95,max_single_share_avg,gross_avg
"CAND-A baseline (cap12,top11)",0.21166887534700662,0.08611092336519714,2.2734873359357577,3.4962755168475876,-0.06512348091503536,3.2502696780469185,10.34192037470726,11.0,11.0,11.0,0.0,0.1273704039180538,0.11643860919710784,0.9400735693817683
top15,0.13957995168478576,0.08081221202123047,1.6576204170281703,2.4021908410988133,-0.06675417319585095,2.0909546924545124,13.745901639344263,15.0,15.0,15.0,0.0,0.11270027925004605,0.091380410306483,0.9486733280723374
top18,0.13569174384781224,0.07770543834293804,1.6767130870196327,2.5024970883935875,-0.05962060277652303,2.275920361899527,16.101873536299767,18.0,18.0,18.0,0.0,0.11270027925004605,0.08044446559499052,0.9486733280723374
top22,0.1282880962468862,0.07592886845949491,1.6279720604978405,2.4172387977116796,-0.06160300600363703,2.082497341758162,18.83138173302108,22.0,18.0,22.0,0.0,0.11270027925004605,0.07172607806743964,0.9486733280723374
top28 (almost full universe),0.13897410480756234,0.07436749172942096,1.7873858444431932,2.713448447879892,-0.06166289503285156,2.253771976380973,21.149882903981265,23.0,18.0,27.0,0.0,0.11270027925004605,0.06647916944328496,0.9486733280723374
adx18,0.20484376648476754,0.08616713872291881,2.206454512223208,3.404104419005596,-0.06512348091503567,3.145467097374909,10.433255269320844,11.0,11.0,11.0,0.0,0.1268633762829242,0.11484265702709487,0.9421027575520348
adx15,0.2043701893357881,0.08618332745100103,2.2014911838018603,3.3986128455194997,-0.06512348091503571,3.1381951097242884,10.447306791569087,11.0,11.0,11.0,0.0,0.12683823529411764,0.11472040685918136,0.9423325822244821
adx12,0.20431998809418372,0.0861788728738426,2.20111649029782,3.3971639996515077,-0.06512348091503581,3.137424247342559,10.454332552693208,11.0,11.0,11.0,0.0,0.12683823529411764,0.11466554439657153,0.9424403105617188
adx0 (no ADX filter),0.20431998809418372,0.0861788728738426,2.20111649029782,3.3971639996515077,-0.06512348091503581,3.137424247342559,10.454332552693208,11.0,11.0,11.0,0.0,0.12683823529411764,0.11466554439657153,0.9424403105617188
top18 + adx18,0.11912064899874397,0.07654990125860016,1.5087610032127374,2.2391741057735906,-0.05962060277652297,1.9979779380165972,16.614754098360656,18.0,18.0,18.0,0.0,0.08620689655172416,0.07646332472176579,0.9508029622127981
top22 + adx15,0.10880383180959541,0.07369959707751852,1.4384969698647077,2.1330126393580304,-0.059109919098279645,1.8407034465516985,20.04566744730679,22.0,22.0,22.0,0.0,0.07874015748031493,0.06530410870294823,0.951032786885246
top28 + adx12,0.11783901094367577,0.07073747356337078,1.6104853029582114,2.4193726872546004,-0.0534045384192139,2.2065355198591066,24.68384074941452,28.0,26.0,28.0,0.0,0.07719563900666258,0.0553136370000314,0.9511405152224824
top28 + adx0,0.11821942489349113,0.07070600956824488,1.615984793404736,2.4249743707887803,-0.05375239422552257,2.1993331943037155,24.749414519906324,28.0,26.0,28.0,0.0,0.07719563900666258,0.05516676317312432,0.9511405152224823
top22 + adx15 + ac0.40,0.11071055017021658,0.07378888771739464,1.4601370917275245,2.1818051966181025,-0.058929439844530924,1.87869680184125,20.04566744730679,22.0,22.0,22.0,0.0,0.0892857142857143,0.06694574456610994,0.9497391942825197
