date,ticker,action,shares,price,notional,target_weight
2026-04-18 10:47:00,SPY,BUY,18,710.14,12782.52,13.3
2026-04-18 10:47:00,SHY,BUY,92,82.64,7602.88,7.6
2026-04-18 10:47:00,GLD,BUY,17,445.93,7580.81,7.8
2026-04-18 10:47:00,IEF,BUY,79,95.93,7578.47,7.6
2026-04-18 10:47:00,TLT,BUY,71,87.07,6181.97,6.2
2026-04-18 10:47:00,TIP,BUY,36,111.48,4013.28,4.1
2026-04-18 10:47:00,EFA,BUY,38,104.32,3964.16,4.0
2026-04-18 10:47:00,QQQ,BUY,6,648.85,3893.1,4.5
2026-04-18 10:47:00,VNQ,BUY,38,96.68,3673.84,3.7
2026-04-18 10:47:00,DBC,BUY,126,28.29,3564.54,3.6
2026-04-18 10:47:00,IWM,BUY,12,275.78,3309.36,3.5
2026-04-18 10:47:00,XLP,BUY,34,82.46,2803.64,2.9
2026-04-18 10:47:00,XLU,BUY,60,46.16,2769.6,2.8
2026-04-18 10:47:00,IWD,BUY,12,227.15,2725.8,2.7
2026-04-18 10:47:00,LQD,BUY,24,110.04,2640.96,2.7
2026-04-18 10:47:00,EEM,BUY,39,63.64,2481.96,2.5
2026-04-18 10:47:00,XLK,BUY,16,154.35,2469.6,2.5
2026-04-18 10:47:00,UUP,BUY,90,27.36,2462.4,2.5
2026-04-18 10:47:00,XLE,BUY,42,55.02,2310.84,2.4
2026-04-18 10:47:00,XLF,BUY,44,52.43,2306.92,2.4
2026-04-18 10:47:00,IWF,BUY,4,476.41,1905.64,1.9
2026-04-18 10:47:00,HYG,BUY,23,80.65,1854.95,1.9
2026-04-18 10:47:00,SLV,BUY,25,73.63,1840.75,1.9
2026-04-18 10:47:00,XLV,BUY,12,148.8,1785.6,1.9
2026-04-18 10:47:00,FXY,BUY,26,57.89,1505.14,1.5
2026-04-18 10:47:00,USO,BUY,10,116.04,1160.4,1.3
